Date,State,City,Population,EnergySource,WaterConsumption,SGD %,AQI,AQI_Bucket,Waste Type,Disposal Method,Recycling Rate (%),Cost of Waste Management(?/Ton)
22-01-2014,Uttar Pradesh,Noida,697430,Wind,121.89,7.4,132,Moderate,Organic,Recycling,25.72,2136.09
22-01-2014,Uttar Pradesh,Ghaziabad,1742737,Hydro,99.85,16.33,332,Very Poor,Organic,Landfill,16.72,2703.3
22-01-2014,Uttar Pradesh,Ghazipur,151022,Mixed,177.03,16.21,210,Poor,Biomedical,Landfill,29.4,3699.99
22-01-2014,Uttar Pradesh,Lucknow,3151182,Coal,128.86,5.43,383,Very Poor,Organic,Landfill,45.54,4173.46
22-01-2014,Uttar Pradesh,Meerut,1420567,Coal,94.2,6.86,338,Very Poor,Mixed,Composting,46.12,2852.67
23-01-2014,Uttar Pradesh,Noida,683747,Wind,201.39,17.51,77,Satisfactory,Organic,Recycling,28.06,3791.89
23-01-2014,Uttar Pradesh,Ghaziabad,1715275,Coal,142.16,23.1,388,Very Poor,Biomedical,Composting,25.89,1263.98
23-01-2014,Uttar Pradesh,Ghazipur,87543,Solar,166.95,7.24,420,Severe,E-Waste,Recycling,59.39,1203.73
23-01-2014,Uttar Pradesh,Lucknow,3190027,Solar,139.99,8.1,445,Severe,E-Waste,Landfill,23.14,2719.94
23-01-2014,Uttar Pradesh,Meerut,1403433,Hydro,147.34,5.34,349,Very Poor,Biomedical,Recycling,59.24,3628.38
24-01-2014,Uttar Pradesh,Noida,743528,Wind,147.53,18.01,305,Very Poor,Biomedical,Landfill,19.7,2328.72
24-01-2014,Uttar Pradesh,Ghaziabad,1723935,Wind,163.52,18.07,105,Moderate,Mixed,Landfill,49.09,4112.15
24-01-2014,Uttar Pradesh,Ghazipur,71319,Coal,84.82,18.45,45,Good,Plastic,Incineration,47.28,4549.92
24-01-2014,Uttar Pradesh,Lucknow,3229690,Coal,202.41,24.37,50,Good,Plastic,Recycling,50.84,2942.87
24-01-2014,Uttar Pradesh,Meerut,1417663,Hydro,95.26,6.32,114,Moderate,Organic,Recycling,40.63,3825.3
25-01-2014,Uttar Pradesh,Noida,673131,Wind,135.38,6.37,89,Satisfactory,Mixed,Landfill,42.81,4382.86
25-01-2014,Uttar Pradesh,Ghaziabad,1654686,Coal,116.43,19.2,378,Very Poor,Plastic,Recycling,32.73,4918.07
25-01-2014,Uttar Pradesh,Ghazipur,87679,Coal,128.35,7.84,141,Moderate,Mixed,Incineration,57.96,2367.53
25-01-2014,Uttar Pradesh,Lucknow,3168725,Wind,249.4,12.88,266,Poor,Organic,Recycling,20.84,1437.28
25-01-2014,Uttar Pradesh,Meerut,1438840,Wind,153.99,6.94,210,Poor,Organic,Recycling,53.68,1445.45
26-01-2014,Uttar Pradesh,Noida,672641,Mixed,146.45,15.59,429,Severe,Organic,Landfill,24.51,4725.47
26-01-2014,Uttar Pradesh,Ghaziabad,1705743,Coal,146.77,15.84,366,Very Poor,Organic,Composting,42.1,1338.27
26-01-2014,Uttar Pradesh,Ghazipur,165578,Wind,90.15,12.96,315,Very Poor,Organic,Landfill,50.07,3416.79
26-01-2014,Uttar Pradesh,Lucknow,3183494,Solar,96.7,7.47,292,Poor,Mixed,Composting,58.41,1835.07
26-01-2014,Uttar Pradesh,Meerut,1440898,Mixed,112.65,20.98,226,Poor,Plastic,Composting,15.72,2457.84
27-01-2014,Uttar Pradesh,Noida,660810,Mixed,99.24,24.26,385,Very Poor,Biomedical,Recycling,43.27,3188.57
27-01-2014,Uttar Pradesh,Ghaziabad,1682443,Hydro,224.64,22.45,379,Very Poor,Biomedical,Incineration,54.13,2033.26
27-01-2014,Uttar Pradesh,Ghazipur,151857,Hydro,243.33,16.98,397,Very Poor,E-Waste,Recycling,24.6,2387.98
27-01-2014,Uttar Pradesh,Lucknow,3168890,Solar,147.13,21.76,365,Very Poor,Biomedical,Landfill,45.27,3160.33
27-01-2014,Uttar Pradesh,Meerut,1404773,Mixed,140.77,8.52,179,Moderate,Mixed,Recycling,39.17,3935.24
28-01-2014,Uttar Pradesh,Noida,702905,Wind,189.44,22.69,241,Poor,E-Waste,Incineration,51.75,3909.68
28-01-2014,Uttar Pradesh,Ghaziabad,1664717,Wind,104,20.56,427,Severe,Organic,Incineration,22.35,2672.43
28-01-2014,Uttar Pradesh,Ghazipur,103954,Wind,181.95,15.18,360,Very Poor,Organic,Incineration,29.06,2046.44
28-01-2014,Uttar Pradesh,Lucknow,3196328,Coal,169.69,5.6,409,Severe,Plastic,Incineration,47.97,4689.98
28-01-2014,Uttar Pradesh,Meerut,1384009,Coal,160.41,22.63,232,Poor,E-Waste,Recycling,26.28,3082.42
29-01-2014,Uttar Pradesh,Noida,674432,Mixed,128.2,16.66,269,Poor,Mixed,Landfill,34.35,3455.39
29-01-2014,Uttar Pradesh,Ghaziabad,1694014,Solar,130.52,14.24,54,Satisfactory,Mixed,Incineration,28.76,3227.59
29-01-2014,Uttar Pradesh,Ghazipur,81147,Wind,228.67,21.41,287,Poor,Mixed,Landfill,25.53,1359.59
29-01-2014,Uttar Pradesh,Lucknow,3212003,Mixed,157.37,24.79,161,Moderate,Mixed,Composting,27.29,4211.2
29-01-2014,Uttar Pradesh,Meerut,1378393,Coal,183.06,5.47,218,Poor,Organic,Incineration,47.96,3429.47
30-01-2014,Uttar Pradesh,Noida,687335,Wind,132.96,21.24,211,Poor,E-Waste,Composting,41.25,3315.95
30-01-2014,Uttar Pradesh,Ghaziabad,1692525,Mixed,161.77,8.49,344,Very Poor,Plastic,Composting,18.49,2103.1
30-01-2014,Uttar Pradesh,Ghazipur,80882,Wind,199.12,6.48,382,Very Poor,Plastic,Composting,55.46,2048.62
30-01-2014,Uttar Pradesh,Lucknow,3163432,Solar,144,5.83,185,Moderate,Organic,Composting,50.78,2522.07
30-01-2014,Uttar Pradesh,Meerut,1363612,Hydro,153.44,7.39,53,Satisfactory,Plastic,Composting,49.54,3097.07
31-01-2014,Uttar Pradesh,Noida,739646,Coal,146.31,8.63,193,Moderate,E-Waste,Incineration,31.92,3213.02
31-01-2014,Uttar Pradesh,Ghaziabad,1685265,Mixed,210.48,14.83,78,Satisfactory,Mixed,Landfill,57.88,2275.38
31-01-2014,Uttar Pradesh,Ghazipur,113709,Mixed,145.08,16.79,411,Severe,Plastic,Composting,43.95,3951.31
31-01-2014,Uttar Pradesh,Lucknow,3231770,Coal,105.62,13.61,231,Poor,Mixed,Landfill,40.91,4352.18
31-01-2014,Uttar Pradesh,Meerut,1352377,Hydro,218.44,13.91,215,Poor,E-Waste,Recycling,28.36,1433.47
01-02-2014,Uttar Pradesh,Noida,694150,Mixed,188.7,22.94,119,Moderate,Mixed,Incineration,17.85,4897.1
01-02-2014,Uttar Pradesh,Ghaziabad,1689640,Solar,139.5,5.33,333,Very Poor,Organic,Composting,38.41,4075.35
01-02-2014,Uttar Pradesh,Ghazipur,167348,Wind,96.26,24.56,383,Very Poor,Plastic,Composting,58.9,3945
01-02-2014,Uttar Pradesh,Lucknow,3153365,Solar,215.52,15.88,232,Poor,Organic,Composting,54.75,3870.75
01-02-2014,Uttar Pradesh,Meerut,1411865,Coal,230.84,11.19,68,Satisfactory,Plastic,Recycling,25.78,1887.63
02-02-2014,Uttar Pradesh,Noida,651041,Hydro,198.68,13.74,257,Poor,Mixed,Composting,32.66,4782.27
02-02-2014,Uttar Pradesh,Ghaziabad,1718257,Hydro,95.77,22.32,53,Satisfactory,Mixed,Composting,57.41,4174.29
02-02-2014,Uttar Pradesh,Ghazipur,70854,Solar,241.84,6.25,196,Moderate,E-Waste,Landfill,51.36,3431.95
02-02-2014,Uttar Pradesh,Lucknow,3240909,Hydro,206.97,5.82,340,Very Poor,Biomedical,Recycling,54.51,3392.68
02-02-2014,Uttar Pradesh,Meerut,1376841,Coal,191.24,21.92,303,Very Poor,Plastic,Recycling,37.89,2901.86
03-02-2014,Uttar Pradesh,Noida,722228,Coal,214.72,20.94,156,Moderate,Plastic,Incineration,49.45,1906.44
03-02-2014,Uttar Pradesh,Ghaziabad,1700806,Mixed,243.92,5.8,138,Moderate,Biomedical,Composting,25.37,3772.4
03-02-2014,Uttar Pradesh,Ghazipur,70130,Solar,233.86,17.08,201,Poor,Mixed,Incineration,42.09,3671.9
03-02-2014,Uttar Pradesh,Lucknow,3167997,Mixed,173.41,13.51,209,Poor,Organic,Landfill,32.49,1456.78
03-02-2014,Uttar Pradesh,Meerut,1401240,Mixed,205.26,9.33,62,Satisfactory,Organic,Composting,39.19,2086.18
04-02-2014,Uttar Pradesh,Noida,737569,Coal,87.09,11.21,85,Satisfactory,Organic,Incineration,31.83,3676.63
04-02-2014,Uttar Pradesh,Ghaziabad,1661182,Wind,240.72,16.58,154,Moderate,Organic,Composting,54.77,2390.86
04-02-2014,Uttar Pradesh,Ghazipur,86369,Solar,182.93,8.46,113,Moderate,Plastic,Recycling,54.19,1821.85
04-02-2014,Uttar Pradesh,Lucknow,3185960,Coal,162.1,22.07,415,Severe,Organic,Composting,47.86,1622.38
04-02-2014,Uttar Pradesh,Meerut,1388002,Solar,116.58,18.66,367,Very Poor,E-Waste,Incineration,58.1,2959.21
05-02-2014,Uttar Pradesh,Noida,704502,Coal,217.7,12,228,Poor,Plastic,Recycling,58.16,2179.29
05-02-2014,Uttar Pradesh,Ghaziabad,1706449,Solar,88.42,16.09,47,Good,Organic,Composting,48.6,4738.05
05-02-2014,Uttar Pradesh,Ghazipur,103756,Solar,187.45,5.69,149,Moderate,Organic,Incineration,56.48,3145.31
05-02-2014,Uttar Pradesh,Lucknow,3202586,Hydro,178.7,18.65,226,Poor,Mixed,Incineration,44.72,1270.77
05-02-2014,Uttar Pradesh,Meerut,1434301,Coal,172.42,11.81,351,Very Poor,Biomedical,Incineration,56.66,3419.18
06-02-2014,Uttar Pradesh,Noida,711800,Hydro,217.75,13.58,231,Poor,Biomedical,Incineration,47.81,3236.34
06-02-2014,Uttar Pradesh,Ghaziabad,1664580,Hydro,240.97,16.77,177,Moderate,Biomedical,Incineration,17.69,3181.43
06-02-2014,Uttar Pradesh,Ghazipur,115577,Coal,88.49,7.43,244,Poor,E-Waste,Composting,42.92,3237.69
06-02-2014,Uttar Pradesh,Lucknow,3202457,Mixed,100.54,21.09,274,Poor,E-Waste,Incineration,44.31,2074.61
06-02-2014,Uttar Pradesh,Meerut,1425037,Hydro,127.83,22.54,226,Poor,E-Waste,Recycling,38.32,2597.74
07-02-2014,Uttar Pradesh,Noida,650243,Wind,183.11,13.29,257,Poor,E-Waste,Recycling,58.25,2266.19
07-02-2014,Uttar Pradesh,Ghaziabad,1720502,Coal,109.49,11.59,373,Very Poor,Organic,Composting,20.78,3251.91
07-02-2014,Uttar Pradesh,Ghazipur,118026,Solar,134.2,10.05,341,Very Poor,Organic,Incineration,18.9,3063.93
07-02-2014,Uttar Pradesh,Lucknow,3236563,Mixed,162.43,17.45,426,Severe,E-Waste,Recycling,24.53,2037.7
07-02-2014,Uttar Pradesh,Meerut,1359337,Solar,179,16.91,184,Moderate,Plastic,Recycling,34.98,2305.25
08-02-2014,Uttar Pradesh,Noida,689562,Coal,139.28,9.76,257,Poor,E-Waste,Composting,47.26,4886.61
08-02-2014,Uttar Pradesh,Ghaziabad,1734297,Hydro,115.75,21.52,116,Moderate,Plastic,Recycling,18.8,4110.22
08-02-2014,Uttar Pradesh,Ghazipur,121725,Coal,224.1,14.39,128,Moderate,Mixed,Recycling,49.68,3907.45
08-02-2014,Uttar Pradesh,Lucknow,3180499,Coal,172.55,24.99,45,Good,Organic,Incineration,39.67,1661.2
08-02-2014,Uttar Pradesh,Meerut,1432189,Hydro,81.09,22.88,137,Moderate,Mixed,Recycling,28.65,3029.47
09-02-2014,Uttar Pradesh,Noida,729993,Coal,166.95,8.41,121,Moderate,Biomedical,Incineration,58.15,4046.6
09-02-2014,Uttar Pradesh,Ghaziabad,1742244,Wind,105.5,22.3,445,Severe,Plastic,Incineration,49.6,3142.03
09-02-2014,Uttar Pradesh,Ghazipur,108764,Hydro,134.81,12.8,339,Very Poor,Mixed,Composting,15.14,3877.69
09-02-2014,Uttar Pradesh,Lucknow,3171559,Wind,161.38,9.29,210,Poor,Organic,Recycling,54.4,2545.69
09-02-2014,Uttar Pradesh,Meerut,1403037,Mixed,131.49,15.32,249,Poor,E-Waste,Recycling,38.26,4401.41
10-02-2014,Uttar Pradesh,Noida,656708,Coal,190.48,8.76,124,Moderate,Biomedical,Incineration,18.94,2404.99
10-02-2014,Uttar Pradesh,Ghaziabad,1720307,Hydro,106.98,24.26,248,Poor,Organic,Composting,37.44,3814.73
10-02-2014,Uttar Pradesh,Ghazipur,125961,Wind,197.45,22.76,256,Poor,E-Waste,Landfill,23.98,3766.05
10-02-2014,Uttar Pradesh,Lucknow,3204507,Solar,117.22,19.5,239,Poor,Mixed,Composting,52.83,4369.66
10-02-2014,Uttar Pradesh,Meerut,1386848,Solar,137.27,23.39,338,Very Poor,Plastic,Recycling,33.69,2323.84
11-02-2014,Uttar Pradesh,Noida,699621,Coal,156.66,13,50,Good,Plastic,Composting,53.39,4515.24
11-02-2014,Uttar Pradesh,Ghaziabad,1651383,Coal,97.9,13.58,113,Moderate,E-Waste,Recycling,35.39,1598.12
11-02-2014,Uttar Pradesh,Ghazipur,124872,Wind,94.71,16.45,216,Poor,Biomedical,Recycling,52.79,1399.47
11-02-2014,Uttar Pradesh,Lucknow,3243461,Mixed,133.92,10.67,435,Severe,Organic,Incineration,53.53,1636.26
11-02-2014,Uttar Pradesh,Meerut,1410371,Wind,193.55,10.24,110,Moderate,Biomedical,Recycling,30.29,4170.89
12-02-2014,Uttar Pradesh,Noida,658021,Hydro,242.6,12.62,187,Moderate,E-Waste,Landfill,35.06,3644.08
12-02-2014,Uttar Pradesh,Ghaziabad,1700475,Mixed,215.92,24.61,44,Good,E-Waste,Incineration,31.52,4814.58
12-02-2014,Uttar Pradesh,Ghazipur,130352,Coal,215.01,19.13,353,Very Poor,E-Waste,Incineration,32.45,1961.26
